sq_mt_built,n_rooms,n_bathrooms,has_lift,has_parking,is_exterior,floor,energy_certificate,neighborhood,house_type,rent_price,buy_price
68,3,1,False,False,True,1,unknown,San Andrés,flat,766,156000
89,2,2,True,False,True,1,bad,San Andrés,flat,1003,228000
61,3,1,False,False,True,4,unknown,San Cristóbal,flat,489,89000
68,3,1,False,False,True,2,unknown,San Cristóbal,flat,512,94000
92,3,2,True,False,True,4,bad,Los Ángeles,flat,833,175000
70,3,1,False,False,True,2,unknown,San Cristóbal,flat,494,90000
63,3,1,True,False,True,1,unknown,Los Rosales,flat,805,167000
57,3,1,False,False,True,5,unknown,Los Ángeles,flat,521,96000
63,3,1,False,False,True,3,unknown,San Andrés,flat,466,84000
125,3,2,True,True,True,1,unknown,Los Rosales,flat,948,210000
80,3,1,False,False,True,1,unknown,San Andrés,flat,517,95000
61,3,1,False,False,True,4,unknown,Butarque,flat,539,100000
85,3,1,False,True,True,1,unknown,Los Rosales,flat,762,154900
80,2,1,True,False,True,3,unknown,Los Ángeles,flat,604,115000
55,2,1,False,False,True,3,unknown,Los Rosales,flat,521,96000
60,2,1,False,False,True,3,unknown,San Cristóbal,flat,517,95000
55,3,1,False,False,True,1,unknown,San Cristóbal,flat,282,78000
93,3,1,False,False,True,0,unknown,Butarque,flat,660,128500
55,2,1,False,False,True,0,unknown,Los Rosales,flat,517,95000
82,3,1,False,False,True,3,unknown,San Cristóbal,flat,465,83900
53,2,1,False,False,True,1,unknown,Los Rosales,flat,521,96000
58,2,1,False,False,True,1,unknown,Los Rosales,flat,617,118000
70,2,1,True,False,True,1,unknown,Los Rosales,flat,923,202000
50,2,1,False,False,True,3,bad,Los Rosales,flat,561,105000
103,3,2,True,True,True,7,unknown,Butarque,duplex,1108,265000
90,3,2,True,True,True,1,unknown,Butarque,flat,1174,290000
66,2,1,False,False,True,3,unknown,Butarque,flat,494,90000
70,2,1,False,False,True,0,unknown,San Andrés,flat,271,75000
60,2,1,False,False,True,2,unknown,San Andrés,flat,646,125000
101,2,2,True,True,True,6,unknown,Butarque,flat,1081,255000
55,2,1,False,False,True,3,bad,San Andrés,flat,524,96600
77,3,1,False,False,True,3,unknown,Los Ángeles,flat,621,119000
56,3,1,True,False,True,1,unknown,Los Rosales,flat,539,100000
72,3,1,True,False,True,other,unknown,Los Rosales,flat,517,95000
70,3,1,False,False,True,3,bad,San Andrés,flat,686,135000
75,2,2,False,False,True,0,unknown,Los Rosales,flat,901,195000
120,3,1,False,False,True,1,unknown,San Andrés,flat,901,195000
91,2,2,True,True,True,1,unknown,San Andrés,flat,964,215000
95,2,1,False,False,True,2,unknown,San Andrés,flat,634,122000
61,3,1,False,False,True,1,unknown,Los Ángeles,flat,646,125000
73,2,1,False,False,True,1,unknown,Los Rosales,flat,625,120000
66,3,1,False,False,True,1,bad,San Andrés,flat,508,93000
68,2,1,False,False,True,4,unknown,Los Ángeles,flat,646,125000
